original_path,current_contract_path,document_type,function_preserved,intent_preserved_score,intent_weakened_score,intent_lost_score,operational_usefulness_score,anti_drift_success_score,cultural_integrity_score,stale_mechanics_removed,over_corrected,needs_revision,final_judgment,priority,notes
BRANCHING.md,BRANCHING_CURRENT_CONTRACT.md,guide,yes,5,1,0,5,5,4,yes,no,no,safe to keep as-is,low,"Portable already; current version improves review standard without losing function."
DOCUMENTATION_INDEX.md,DOCUMENTATION_INDEX_CURRENT_CONTRACT.md,guide,yes,4,1,0,4,5,4,yes,partial,light,needs light revision,medium,"Strong re-indexing by role; could add a shorter top-level quick path."
FILES_CREATED_THIS_SESSION.md,FILES_CREATED_THIS_SESSION_CURRENT_CONTRACT.md,summary,yes,4,0,0,4,5,3,yes,no,no,safe to keep as-is,low,"Correctly reframed as archival memory."
FOLDER_REORGANIZATION_COMPLETE.md,FOLDER_REORGANIZATION_COMPLETE_CURRENT_CONTRACT.md,summary,partial,4,2,1,3,5,3,yes,partial,light,needs light revision,medium,"Preserves the structural lesson but loses some practical 'how to read the structure now' utility."
PROJECT_STATUS.md,PROJECT_STATUS_CURRENT_CONTRACT.md,summary,yes,4,1,0,4,5,4,yes,no,no,safe to keep as-is,low,"Good durable state summary; drops stale phase metrics correctly."
QUICK_REFERENCE.md,QUICK_REFERENCE_CURRENT_CONTRACT.md,guide,partial,4,2,1,3,5,4,yes,yes,light,needs light revision,high,"Portable and anti-drift, but lost too many concrete commands; needs a profile appendix."
STRUCTURE_GUIDE.md,STRUCTURE_GUIDE_CURRENT_CONTRACT.md,contract,yes,5,1,0,5,5,5,yes,no,no,safe to keep as-is,low,"Strong translation into portable realm/role language."
TEST_REPORT.md,TEST_REPORT_CURRENT_CONTRACT.md,technical,partial,4,2,1,3,5,4,yes,partial,light,needs light revision,medium,"Useful as a validation contract; could retain a small example smoke matrix."
TRANSPARENCY.md,TRANSPARENCY_CURRENT_CONTRACT.md,governance,yes,5,1,0,4,5,4,yes,no,no,safe to keep as-is,low,"Strong preservation of accountability and trust purpose."
architecture/ARCHITECTURE.md,architecture/ARCHITECTURE_CURRENT_CONTRACT.md,contract,yes,5,1,0,5,5,5,yes,no,no,safe to keep as-is,low,"One of the strongest rewrites; architecture is clearer now."
architecture/DUAL_CONTAINER_ARCHITECTURE.md,architecture/DUAL_CONTAINER_ARCHITECTURE_CURRENT_CONTRACT.md,guide,partial,4,2,1,3,5,4,yes,partial,light,needs light revision,medium,"Good profile reframing; could use one concrete 'current profile example' section."
architecture/DUAL_CONTAINER_QUICK_REFERENCE.md,architecture/DUAL_CONTAINER_QUICK_REFERENCE_CURRENT_CONTRACT.md,guide,partial,4,2,1,3,5,4,yes,partial,light,needs light revision,medium,"Keeps the two-profile distinction; lost some quick-use immediacy."
architecture/KUBERNETES_READINESS.md,architecture/KUBERNETES_READINESS_CURRENT_CONTRACT.md,technical,yes,4,1,0,4,5,4,yes,no,no,safe to keep as-is,low,"Correctly demoted Kubernetes from destination to profile."
architecture/OPERATIONAL_INFRASTRUCTURE.md,architecture/OPERATIONAL_INFRASTRUCTURE_CURRENT_CONTRACT.md,technical,partial,4,2,1,3,5,4,yes,partial,light,needs light revision,high,"Preserves ops concerns but loses some practical operational examples."
architecture/START_HERE_PHASE_6.md,architecture/START_HERE_PHASE_6_CURRENT_CONTRACT.md,guide,yes,4,1,0,4,5,4,yes,no,no,safe to keep as-is,low,"Good role-based architecture entry point."
architecture/WHAKAPAPA_DEPLOYMENT.md,architecture/WHAKAPAPA_DEPLOYMENT_CURRENT_CONTRACT.md,contract,yes,5,1,0,4,5,5,yes,no,no,safe to keep as-is,low,"Strong retention of whakapapa lane purpose and sensitivity."
guides/CONTRIBUTING.md,guides/CONTRIBUTING_CURRENT_CONTRACT.md,guide,yes,5,1,0,4,5,4,yes,no,no,safe to keep as-is,low,"Preserves contribution intent while improving anti-drift review criteria."
guides/DEPLOYMENT_CHECKLIST.md,guides/DEPLOYMENT_CHECKLIST_CURRENT_CONTRACT.md,guide,partial,4,2,1,3,5,4,yes,partial,light,needs light revision,high,"Needs a live profile appendix to restore operational usefulness."
guides/KAITIAKI_SDK_VISION.md,guides/KAITIAKI_SDK_VISION_CURRENT_CONTRACT.md,contract,partial,4,2,1,3,5,5,yes,partial,light,needs light revision,high,"Very good on anti-drift; 'consciousness' was translated safely, but some of the vivid deployable vision was softened."
guides/PRODUCTION_SETUP.md,guides/PRODUCTION_SETUP_CURRENT_CONTRACT.md,guide,partial,4,2,1,3,5,4,yes,partial,light,needs light revision,high,"Needs a current profile production appendix to regain practical setup value."
guides/QUICK_START_PHASE_6.md,guides/QUICK_START_PHASE_6_CURRENT_CONTRACT.md,guide,partial,4,2,1,3,5,4,yes,partial,light,needs light revision,high,"Good portable quick start but too abstract without one real example path."
guides/SELF_HOSTING.md,guides/SELF_HOSTING_CURRENT_CONTRACT.md,guide,yes,5,1,0,4,5,4,yes,no,no,safe to keep as-is,low,"Strong self-hosting principles preserved; could later add profile appendices."
guides/START_HERE_PHASE_6.md,guides/START_HERE_PHASE_6_CURRENT_CONTRACT.md,guide,yes,4,1,0,4,5,4,yes,no,no,safe to keep as-is,low,"Good doc entry point; phase framing removed correctly."
guides/SUPABASE_SETUP.md,guides/SUPABASE_SETUP_CURRENT_CONTRACT.md,technical,partial,4,1,0,3,5,4,yes,partial,light,needs light revision,medium,"Correctly demoted to hosted profile; loses hands-on setup detail by design."
guides/TE_REO_WORKFLOW.md,guides/TE_REO_WORKFLOW_CURRENT_CONTRACT.md,guide,yes,5,1,0,4,5,5,yes,no,no,safe to keep as-is,low,"Very strong preservation of reo, macrons, and lane distinctions."
how_to_run.md,how_to_run_CURRENT_CONTRACT.md,guide,partial,4,2,1,3,5,4,yes,yes,light,needs light revision,high,"Strong run contract; lost too much concrete run-path detail."
phase-summaries/BACKEND_DELIVERY_SUMMARY.md,phase-summaries/BACKEND_DELIVERY_SUMMARY_CURRENT_CONTRACT.md,summary,yes,4,0,0,4,5,3,yes,no,no,safe to keep as-is,low,"Correct as historical delivery memory."
phase-summaries/BACKEND_STATUS.md,phase-summaries/BACKEND_STATUS_CURRENT_CONTRACT.md,summary,yes,4,0,0,4,5,3,yes,no,no,safe to keep as-is,low,"Good historical reframing."
phase-summaries/PHASE_2_SUMMARY.md,phase-summaries/PHASE_2_SUMMARY_CURRENT_CONTRACT.md,summary,yes,4,0,0,4,5,4,yes,no,no,safe to keep as-is,low,"Strong preservation of sovereignty/self-hosting policy milestone."
phase-summaries/PHASE_6_DELIVERY_MANIFEST.md,phase-summaries/PHASE_6_DELIVERY_MANIFEST_CURRENT_CONTRACT.md,summary,yes,4,0,0,4,5,3,yes,no,no,safe to keep as-is,low,"Correctly historical."
phase-summaries/PHASE_6_EXECUTIVE_SUMMARY.md,phase-summaries/PHASE_6_EXECUTIVE_SUMMARY_CURRENT_CONTRACT.md,summary,yes,4,0,0,4,5,3,yes,no,no,safe to keep as-is,low,"Useful stakeholder memory retained."
phase-summaries/PHASE_6_FINAL_STATUS.md,phase-summaries/PHASE_6_FINAL_STATUS_CURRENT_CONTRACT.md,summary,yes,4,0,0,4,5,3,yes,no,no,safe to keep as-is,low,"Correctly downgraded from 'final' to milestone history."
phase-summaries/PHASE_6_VISUAL_SUMMARY.md,phase-summaries/PHASE_6_VISUAL_SUMMARY_CURRENT_CONTRACT.md,summary,yes,4,0,0,4,5,3,yes,no,no,safe to keep as-is,low,"Visual summary now functions as historical architecture memory."
phase-summaries/SESSION_6_COMPLETE.md,phase-summaries/SESSION_6_COMPLETE_CURRENT_CONTRACT.md,summary,yes,4,0,0,4,5,3,yes,no,no,safe to keep as-is,low,"Session memory preserved correctly."
phase-summaries/SESSION_COMPLETE.md,phase-summaries/SESSION_COMPLETE_CURRENT_CONTRACT.md,summary,yes,5,0,0,4,5,4,yes,no,no,safe to keep as-is,low,"Strong preservation of vision-to-delivery thread."
phase-summaries/WHAKAPAPA_REUNIFICATION.md,phase-summaries/WHAKAPAPA_REUNIFICATION_CURRENT_CONTRACT.md,contract,yes,5,1,0,4,5,5,yes,no,no,safe to keep as-is,low,"Excellent retention of kaupapa and lane purpose."
